File,1,5,8
"Jackendoff, Ray S - Patterns In The Mind Language And Human Nature (2015).pdf",e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
"Jay D. Friedenberg, Gordon W. Silverman, Michael J. Spivey - Cognitive Science_ An Introduction to the Study of Mind-SAGE Publications, Inc (2021).pdf",70e51cb3715ea8cab107fbe94b8a93d5ad189c22b00b5c2e111ec5170cccb68b,9a04557a8e845c89b1b267057058e5bfbd4e550664d5f20319237d724ab28e5b,25b00774aab7735c993066e9cba76f948e56e8a4668e4d034ebe41ba1406216b
Jiang et al 2006_gender and sexual orientation .pdf,cfc5e6f2a2af026e6ffb40efe749e469027868aa69796a392fe1f33a1c63ba50,83051640e2b7651289d13c409ec8aa69261893c1dc999d1b57f620bcb50d2303,Page does not exist
Jonas & Kording _Could a neurosceinetist understand a microprocessor .pdf,932cd2f091650681853674bdfe33a5a8f30c3506ae6eb1c7929fbde6771726e9,7ab2cf47b6a7ef8013f884f9cf1fd641a5bb11a61e5ee22cf6218ff91c187ddf,a8f7c32f324631b3185ddb4183833b049425e0372d1a9c56ef684ef4a55a4c17
Kinzler _The native language of social cognition.pdf,8a802560cded63d5c27911dbda6159e8b117cdb2e8c13f1bae2f712821c831a7,Page does not exist,Page does not exist
Mishimoto et al_Reconstructing Visual Experiences from Brain Activity.pdf,f659f23903c022c8fd1164903931d365b04668860065985af3bfcc4ef88135f5,f7343e1592282f453bf40468d7c48cde39fd09f28d29de10a764590888f12d3d,Page does not exist
Modularity.pdf,9e3dab912fcfef4e9edcc0aaedd3a30d86eba51c4acc5d7ff719a0b76bf71c8f,d5ecdcb0d49c3f6232f5a8ba67f8548c2cc2a0e3689bcc5dc3217d045882e8b9,5aa18ab0f1525446b369ecc7e704cdd75a659d095abb161ca02ea999be4629ed
Most et al 2001_How not to be seen.pdf,4c1ff3d6896a315484ced5078499926634ce5febcf0bf100ab0caec70a10e44c,d2caffd0f2dc9c930459b5fd1a8eb96dc714d091a4b379c014f7842ca8f216bc,8cb8ea1a39a54d16e1b22432acf17942ac929dfbd86f040be23f08cbd26d9298
New )Scholl_Perceptual Scotomas.pdf,3e52a6e158d583c719890a5bb3853de5bb19a056dc7b73483b2b57404b140333,215d8728e3774b00c1c9d56e2f20c112354ac5355e02bb32febcfa00a14787ce,Page does not exist
Nillson & Pelger_A pessimistic estimate of the time required for an eye to evolve .pdf,a6d87a7e193ad2cf96d3bb411c8525472a965e09a96fbb9ee59aa0e11825c35f,8102349df73d6ae5f4aa15964882bd5783b1e2b888976c0d1e907dafc3679a44,Page does not exist
Oliver Sacks - The Man Who Mistook His Wife for a Hat (Picador)  -Picador (1986).pdf,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,26524e1868ccb4c8697bf6dd40515390c970abc7cc5aab4c082dad3ca9098f9d,6f4eafbcffc4e47a1e351711da025850c0f9b5fdd4c321b25b090538cb788b16
Paul M. Churchland - Matter and Consciousness-The MIT Press (2013).pdf,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d891adea983c072923db81c14d0595b8cd4e1f1fa9430fa4e7966161420acdc1,af2be553fd30d27a1810cf8384814c738608fdadad3105bb693969d37e15f2b8
Perception_CGS401A.pdf,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,73bbe59012f6b2632e8fdd5c853cb5c69dd2696a610c044ffc19e0fa4eff8b1c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Pylshyn_Whats in your mind.pdf,37e54c35777e884b0a08974fc36e086bbc976bc24c0fe93f863983ce213428cb,3bcc3dafe38adea0d05384c269307c115472f1517d8e32dba76cb46ec39ba87d,69ff3521a3b593d4b6baadd555a5a78161e783fee64102b7d8bc10e1552a0111
Rand_Nowak_human Cooperation.pdf,a26967bd0c2eaf39a7efefa3815db7c88643006377c08b71064790e986a4909d,bf36eea985ce407f349db5d94918f6b4c78ed73de5b18bdeabeee8c9ecfda447,29bbda18c56b4b622914bf25514d48b66bc706de14407fc3ba4342a50bd7c647
"Robert J. Sternberg and Karin Sternberg-Cognitive Psychology, 6th Edition  -Wadsworth Publishing (2011).pdf",e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,63c25e2d0b0592d0f3578eac71e60675fe39bf01a56f4935bb866a957688e84b,4113b82899e4f351d4b2285b56e4ff2ff1423bd1d10b84c48d0a1db25a21c3bc
Scassellati_Vasquez_Socially Assistive Robotics.pdf,b7e21172f9bedd0106e6f6565b19df51454f2d731751e9b72844e9aa4f2b571d,Page does not exist,Page does not exist
Smons and Levin_Failure to detect changes to people in a real world erection.pdf,31cf0f73334c47a0b2920a25c3196fb70e65a4b2f8a224f60ded0949fd796f28,6a58c61583ee6505fe4afd354c155c5d7367b7e340c8c244d2a6ef54a3f3f135,Page does not exist
Sugita_Face perception in Monkeys with no exposure to faces .pdf,1114ec7f53f2fc818e1340e126aaf3aafbd672284ad53097cc05384c321ab006,4b1b541ae635d6b02f29fdb53da382329755ff59523f84f3ff7fc3e0368febaf,Page does not exist
They are made out of meat.pdf,978febf1db7a338e28ebb66406b5b896c55efd20ca2162f7772425167b229ee0,9c4de4d71b918224880260fcbe3127025c015226e46e2cb7312310037e68b44a,Page does not exist
Tomassello_Chimpanzees Understand Psychological States.pdf,5699eac9dc24e04948aa85a6791b400ef7b4931a9ecff8c930994c0d44be096a,Page does not exist,Page does not exist
Yang_2018_Grand Challenges of Science Robotics.pdf,d78b33c5dc895fc04e81c2b310d598d9550abc87697bc7668fe6dcf4983ca94e,91f51b5900b3d01a761e0886cf82ad361d0638f2d87af467aa38aa4f756c5770,f02c288753ae2e444e2286fc9305024b4b8deb029babf4a88324965fb219997b
